gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1932935942	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CDC018	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Ongon	La Libertad	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-8.2195	-77.104333											2433401	2433401	OCCURRENCE		Centro de Datos para la Conservación					CC_BY_NC_4_0		-			2022-01-30T11:40:19.402Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1932935941	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CDC016	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Huicungo	San Martin	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-7.65	-77.4											2433401	2433401	OCCURRENCE		Centro de Datos para la Conservación					CC_BY_NC_4_0		-			2022-01-30T11:40:19.401Z		GEODETIC_DATUM_ASSUMED_WGS84
1932935940	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:INVS021	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornartus		PE		San Martin	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-6.77	-77.62											2433401	2433401	OCCURRENCE		Centro para la Sostenibilidad Ambiental					CC_BY_NC_4_0		-			2022-01-30T11:40:19.404Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY
1932935939	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CDC037	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Camanti	Cusco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-13.416833	-70.716833											2433401	2433401	OCCURRENCE		Centro de Datos para la Conservación					CC_BY_NC_4_0		-			2022-01-30T11:40:19.357Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1932935938	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CDC032	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Machu picchu	Cusco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-13.159	-72.541167											2433401	2433401	OCCURRENCE		Centro de Datos para la Conservación					CC_BY_NC_4_0		-			2022-01-30T11:40:19.356Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1932935937	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:NF011	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornartus		PE	oxapampa	Pasco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-10.651751	-75.441711							2017-08-24T00:00:00	24	8	2017	2433401	2433401	OCCURRENCE							CC_BY_NC_4_0		Nereyda Falconi			2022-01-30T11:40:19.358Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY
1932935936	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:NF029	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornartus		PE	pillao	Huanuco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-9.774358	-75.854978							2018-02-28T00:00:00	28	2	2018	2433401	2433401	OCCURRENCE							CC_BY_NC_4_0		Nereyda Falconi			2022-01-30T11:40:19.357Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY
1932935935	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CDC015	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Pampa hermosa	Loreto	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-7.584833	-75.933333											2433401	2433401	OCCURRENCE		Centro de Datos para la Conservación					CC_BY_NC_4_0		-			2022-01-30T11:40:19.362Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1932935934	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:INVS012	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornartus		PE		Piura	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-4.95	-79.48											2433401	2433401	OCCURRENCE		Centro para la Sostenibilidad Ambiental					CC_BY_NC_4_0		-			2022-01-30T11:40:19.361Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY
1932935933	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:NF010	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornartus		PE	oxapampa	Pasco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-10.636218	-75.444542							2017-10-14T00:00:00	14	10	2017	2433401	2433401	OCCURRENCE							CC_BY_NC_4_0		Nereyda Falconi			2022-01-30T11:40:19.363Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY
